                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.3333,                 2.0442,                 1.0101,                 1.3016,                0.66355,                   0.65,                0.71746,                0.33861,                0.66355,                   0.65,                0.71752,                0.34527,                 1.7961,                 2.7129,                 1.2599,                 1.6532,               0.001109,               0.001109,               0.001109
                     48,                 1.3683,                 2.0966,                 1.0234,                 1.3039,                0.68199,                  0.695,                0.71949,                0.36796,                0.67623,                   0.69,                0.70674,                0.37026,                 1.6941,                 2.5362,                 1.2277,                 1.5379,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2442,                  1.919,                0.92465,                 1.2533,                0.72815,                0.58929,                0.69915,                  0.377,                0.74203,                0.58966,                0.70007,                0.36968,                 1.6434,                 2.5873,                 1.2458,                 1.5379,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2471,                 1.9196,                0.89594,                 1.2521,                 0.7067,                   0.61,                0.69109,                0.36651,                0.73414,                  0.595,                0.68759,                0.35655,                 1.6948,                 2.6657,                 1.2222,                 1.5708,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2653,                 1.8716,                0.90684,                 1.2644,                0.71587,                   0.66,                0.71181,                0.39283,                0.70626,                  0.645,                0.69798,                0.37567,                 1.6999,                  2.637,                 1.2793,                 1.5775,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.226,                 1.9371,                0.91324,                 1.2461,                0.71904,                   0.65,                0.69131,                0.36355,                 0.7301,                   0.66,                0.70183,                0.37125,                 1.7661,                 2.6296,                   1.33,                 1.6106,                0.00101,                0.00101,                0.00101
                     53,                 1.2185,                 1.8966,                0.88774,                 1.2375,                0.68311,                   0.64,                 0.6977,                0.37645,                0.73013,                  0.625,                0.69797,                0.37917,                 1.6817,                  2.572,                 1.3238,                 1.5477,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2437,                 1.8413,                0.86086,                 1.2618,                0.71322,                0.63419,                0.71005,                0.39329,                 0.7673,                   0.58,                0.70314,                 0.3905,                 1.6278,                 2.4796,                 1.3206,                 1.5036,              0.0009704,              0.0009704,              0.0009704
                     55,                   1.24,                  1.904,                0.89002,                  1.253,                0.74219,                   0.62,                0.70343,                0.38674,                0.82826,                  0.615,                0.74305,                0.38624,                 1.7092,                 2.5659,                 1.2984,                 1.6037,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2296,                 1.9166,                0.88388,                  1.231,                0.70912,                  0.685,                0.71857,                0.37136,                0.71685,                   0.66,                0.71515,                0.37467,                 1.7069,                  2.593,                 1.2525,                 1.5776,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2305,                 1.8753,                0.87352,                 1.2388,                0.70609,                  0.675,                0.71978,                0.38498,                0.72618,                0.68952,                0.75219,                  0.401,                 1.7154,                 2.4661,                 1.1809,                 1.5702,               0.000911,               0.000911,               0.000911
                     58,                 1.2156,                 1.8232,                 0.8647,                 1.2298,                0.67266,                  0.595,                0.66486,                0.35756,                0.67832,                    0.6,                0.67391,                0.35907,                 1.7572,                 2.5748,                 1.4339,                 1.6076,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2095,                 1.9033,                0.90094,                 1.2372,                0.65397,                0.59532,                 0.6447,                0.35072,                 0.6707,                0.61103,                0.66143,                 0.3415,                 1.6987,                  2.702,                 1.3225,                 1.5851,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.2143,                 1.8737,                0.88214,                 1.2367,                0.65886,                0.68562,                0.70694,                  0.373,                0.67611,                0.69931,                0.72443,                0.37196,                  1.736,                 2.6711,                 1.1981,                 1.6145,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1802,                 1.8585,                0.81344,                 1.2249,                0.68745,                0.65985,                0.73134,                0.37647,                0.72108,                0.64633,                0.74693,                0.37501,                 1.7406,                 2.6332,                 1.1559,                 1.6217,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1967,                 1.8989,                0.88876,                 1.2527,                0.78523,                   0.65,                0.74158,                0.38636,                0.77488,                0.63681,                0.73663,                0.37985,                 1.6397,                 2.4923,                 1.1364,                 1.5583,               0.000812,               0.000812,               0.000812
                     63,                 1.2161,                 1.8372,                0.92189,                 1.2781,                0.73637,                  0.665,                0.72591,                0.37396,                0.74296,                   0.67,                0.72925,                0.37454,                 1.6511,                 2.5057,                  1.171,                 1.5458,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1439,                 1.7583,                0.80651,                  1.168,                0.73796,                0.66182,                0.72566,                0.38027,                0.75317,                   0.66,                 0.7269,                0.38095,                 1.7416,                 2.6347,                 1.2507,                 1.6054,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1766,                  1.809,                0.80447,                 1.2103,                0.81336,                  0.595,                0.70952,                0.38407,                0.83286,                0.59798,                0.72242,                0.38149,                 1.6985,                 2.6536,                  1.222,                 1.5779,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1447,                 1.7644,                0.79278,                 1.1902,                0.79463,                0.65779,                0.75622,                0.38375,                0.80546,                  0.645,                0.76495,                0.38788,                 1.6797,                 2.6091,                 1.1588,                 1.5458,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1284,                 1.7358,                0.78234,                  1.191,                0.75394,                   0.65,                0.73666,                0.38704,                0.75394,                   0.65,                 0.7367,                0.38307,                 1.6979,                 2.6178,                 1.2015,                 1.5906,               0.000713,               0.000713,               0.000713
                     68,                  1.137,                 1.8075,                0.81518,                 1.2078,                0.72883,                   0.67,                0.71976,                0.38538,                0.73615,                0.68356,                0.73213,                0.37651,                 1.7029,                 2.5817,                 1.1857,                 1.6038,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0961,                  1.721,                0.73315,                  1.148,                0.75735,                  0.675,                0.71858,                0.37961,                0.78094,                  0.695,                0.75985,                0.38358,                 1.6843,                 2.5772,                 1.1516,                 1.6017,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0682,                 1.7499,                0.75632,                  1.157,                0.67146,                0.72555,                 0.7392,                0.39895,                0.68115,                0.73701,                0.75393,                0.39874,                 1.6613,                 2.6449,                 1.1621,                  1.536,              0.0006536,              0.0006536,              0.0006536
